title,description,price,area,location,date
Terrain a vendre  Akpakpa Dodomû´,, 17 500 000 FCFA ,"


Surface Terrain
400.00 môý


"," Akpakpa PK10 zone HOUDEGBE cûÇtûˋ plage., Cotonou, 345 ","

  Publiûˋ le 23/12/2021	
"
Terrain a vendre  Tokan AûÛdûˋgnon,, 5 000 000 FCFA ,"


Surface Terrain
450.00 môý


"," calavi Tokan û 800METRES DU GOUDRON, Abomey-calaviô , 143 ","

  Publiûˋ le 23/12/2021	
"
Terrain a vendre  Akpakpa Dodomû´,, 45 000 000 FCFA ,"


Surface Terrain
425.00 môý


"," dans la ZONE DES AMBASSADES AKPAKPA le Bûˋlier, Cotonou, 345 ","

  Publiûˋ le 23/12/2021	
"
Terrain a vendre  Womey Centre,, 21 000 000 FCFA ,"


Surface Terrain
1400.00 môý


"," derriû´re le CEG plateau de womey, Abomey-calaviô , 139 ","

  Publiûˋ le 23/12/2021	
"
Terrain a vendre  VodjĂ¨ Centre,, 65 000 000 FCFA ,"


Surface Terrain
527.00 mÂ˛


"," non loin  Nifur( axe  ĂŠtoiles rouge- cadjehoun) quatier vodjĂŞ, Cotonou, 352 ","

  PubliĂŠ le 23/12/2021	
"
Terrain a vendre  JĂŠrichoÂ  Nord,, 58 000 000 FCFA ,"


Surface Terrain
500.00 mÂ˛


"," en *deuxiĂ¨me position du pavĂŠ faisant face Ă  l'ĂŠglise catholique de aidjedo/JĂŠricho( ste CĂŠcile), Ă  30m  du centre de santĂŠ de aidjedo, et Ă  50 m d'une des  mairies  de COTonou, Cotonou, 347 ","

  PubliĂŠ le 23/12/2021	
"
Terrain a vendre  Togbin âDaho,, 15 000 000 FCFA ,"


Surface Terrain
325.00 mÂ˛


"," situĂŠe entre 2 immeubles et non loin du Commissariat de Togbin, Abomey-calaviÂ , 139 ","

  PubliĂŠ le 23/12/2021	
"
Terrain a vendre  Tokpa Hoho,, 165 000 000 FCFA ,"


Surface Terrain
788.00 mÂ˛


"," derriĂ¨re MMS, Cotonou, 346 ","

  PubliĂŠ le 23/12/2021	
"
Terrain a vendre  Fidjrossû´ Centre,, 45 000 000 FCFA ,"


Surface Terrain
305.00 môý


"," en premiû´re position du goudron route des pûˆches, Cotonou, 353 ","

  Publiûˋ le 23/12/2021	
"
Terrain a vendre  Jûˋrichoô  Nord,, 90 000 000 FCFA ,"


Surface Terrain
496.00 môý


"," DERRIûRE BIBE ET SITUûE û 50m DU PAVû., Cotonou, 347 ","

  Publiûˋ le 23/12/2021	
"
Terrain a vendre Akassatoô ,, 15 000 000 FCFA ,"


Surface Terrain
315.00 môý


"," AU BORD DU GOUDRON (ROUTE INTER ûTAT), Abomey-calaviô , 137 ","

  Publiûˋ le 23/12/2021	
"
Terrain a vendre  Tankpûˆ,, 10 000 000 FCFA ,"


Surface Terrain
296.00 môý


"," derriû´re  Bar le Tapi Rouge û  300 m des pavûˋs, Abomey-calaviô , 136 ","

  Publiûˋ le 23/12/2021	
"
Terrain a vendre  Togbin ãDaho,, 55 000 000 FCFA ,"


Surface Terrain
815.00 môý


"," dans la zone 3 non loin du consulat de Congo dans une zone rûˋsidentielle trû´s  accessible., Abomey-calaviô , 139 ","

  Publiûˋ le 18/12/2021	
"
Terrain a vendre  FidjrossĂ¨ Centre,, 45 000 000 FCFA ,"


Surface Terrain
305.00 mÂ˛


"," en premiĂ¨re position du goudron route des pĂŞches,, Cotonou, 353 ","

  PubliĂŠ le 18/12/2021	
"
Terrain a vendre  Akogbato,, 15 000 000 FCFA ,"


Surface Terrain
348.00 môý


"," dans la rue du CS St Michel Archange et û  quelques mû´tres des pavûˋs (tronûÏon Godomey magasin - Club des Rois), Cotonou, 353 ","

  Publiûˋ le 18/12/2021	
"
Terrain a vendre  Aibatin Kpota,, 64 800 000 FCFA ,"


Surface Terrain
500.00 mÂ˛


"," AĂBATIN EN FACE DE NSIA BANQUE, Cotonou, 354 ","

  PubliĂŠ le 18/12/2021	
"
Terrain a vendre Abomey-calaviô ,, 4 000 000 FCFA ,"


Surface Terrain
400.00 môý


"," Akahonto dans lãarrondissement de OUEDO û  500m de la voie 40 goudronnûˋe de OUEDO, Abomey-calaviô , 136 ","

  Publiûˋ le 17/12/2021	
"
Terrain a vendre Abomey-calaviô ,, 3 000 000 FCFA ,"


Surface Terrain
400.00 môý


"," non loin des logements sociaux de OUEDO Hosseviûˋ dans lãarrondissement de Togba û  1,2km de la voie 40 goudronnûˋe de OUEDO, Abomey-calaviô , 136 ","

  Publiûˋ le 17/12/2021	
"
Terrain a vendre  Akpakpa Dodom猫,, 35 000 000 FCFA ,"


Surface Terrain
501.00 m虏


"," PK10 C脭T脡 PLAGE 脿 150 m猫tres des pav茅s et entre de belle Construction, Cotonou, 345 ","

  Publi茅 le 17/12/2021	
"
Terrain a vendre  Atrokpo-Codji,, 23 000 000 FCFA ,"


Surface Terrain
596.00 môý


"," derriû´re le sûˋminaire Jean Eudes, Abomey-calaviô , 139 ","

  Publiûˋ le 17/12/2021	
"
Terrain a vendre  Godomey-NãGbû´ho,, 300 000 000 FCFA ,"


Surface Terrain
2813.00 môý


"," GODOMEY GARE(Rûˋu), Abomey-calaviô , 139 ","

  Publiûˋ le 16/12/2021	
"
Terrain a vendre  Akogbato,, 50 000 000 FCFA ,"


Surface Terrain
756.00 môý


"," au bord des pavûˋs de la nouvelle pharmacie Akogbato,, Cotonou, 353 ","

  Publiûˋ le 16/12/2021	
"
Terrain a vendre  Houûˋnoussou Steô Rita,, 14 000 000 FCFA ,"


Surface Terrain
325.00 môý


"," zone de l'hûÇpital St Luc., Cotonou, 349 ","

  Publiûˋ le 16/12/2021	
"
Terrain a vendre Alladaô centreô ,, 40 000 000 FCFA ,"


Surface Terrain
50.00 môý


"," Allada, prûˋcisûˋment û  Sokoudûˋnou, Alladaô , 91 ","

  Publiûˋ le 16/12/2021	
"
Terrain a vendre  Agbo-Codji-Sû´dûˋgbûˋ,, 14 200 000 FCFA ,"


Surface Terrain
400.00 môý


"," 300m environ des rails et 600m de la fin des Nouveaux pavûˋs de SEDEGBE, Abomey-calaviô , 139 ","

  Publiûˋ le 16/12/2021	
"
Terrain a vendre  Agla-Akplomey,, 16 000 000 FCFA ,"


Surface Terrain
350.00 môý


"," 100m environ du nouveau goudron, Cotonou, 354 ","

  Publiûˋ le 16/12/2021	
"
Terrain a vendre  Agla-Akplomey,, 15 000 000 FCFA ,"


Surface Terrain
285.00 môý


"," Akplomey 200m environ de la pharmacie CRISTAL SANTû, Cotonou, 354 ","

  Publiûˋ le 16/12/2021	
"
Terrain a vendre  Cocotomey,, 75 000 000 FCFA ,"


Surface Terrain
1116.00 môý


"," au bord  du goudron, Abomey-calaviô , 139 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre  Togbin ãDaho,, 60 000 000 FCFA ,"


Surface Terrain
608.00 môý


"," TOGBIN ZONE 3, Abomey-calaviô , 139 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre Abomey-calaviô ,, 100 000 000 FCFA ,"


Surface Terrain
1692.00 môý


"," SOS CALAVI au bord des pavûˋs, Abomey-calaviô , 136 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre  Cadjû´houn Aupiais,, 130 000 000 FCFA ,"


Surface Terrain
515.00 môý


"," Zone de l'ûˋcole Supûˋrieure Gûˋnie civil VERECHAGUINE, Cotonou, 353 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre Pahouô ,, 15 000 000 FCFA ,"


Surface Terrain
540.00 môý


"," citûˋ zohoun d'ahozon, Ouidahô , 114 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre  Agontinkon,, 70 000 000 FCFA ,"


Surface Terrain
400.00 môý


"," au bord du nouveau goudron qui quitte le carrefour agontikon pour barriû´re, Cotonou, 349 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre  Akogbato,, 35 000 000 FCFA ,"


Surface Terrain
1050.00 môý


"," juste derriû´re l'EPP AKOGBATO, Cotonou, 353 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre Pahouô ,, 4 500 000 FCFA ,"


Surface Terrain
1000.00 môý


"," non loin du lac Toho..., Ouidahô , 114 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre  DĂ¨koungbĂŠ-Eglise,, 16 000 000 FCFA ,"


Surface Terrain
402.00 mÂ˛


"," HĂ¨domey en bordure d'une voie de 10m en pleine agglomĂŠration, Abomey-calaviÂ , 139 ","

  PubliĂŠ le 14/12/2021	
"
Terrain a vendre  Mû´nontin,, 28 000 000 FCFA ,"


Surface Terrain
394.00 môý


"," la rue en face de l'hûÇpital de zone de menontin et derriû´re le CTPS., Cotonou, 350 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre  Glo-tokpa,, 35 000 000 FCFA ,"


Surface Terrain
996.00 môý


"," n bordure de la RNIE Cotonou-Bohicon et en face de la fondation CIEVRA, Abomey-calaviô , 137 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre Tori-bossitoô ,, 15 500 000 FCFA ,"


Surface Terrain
1876.00 môý


"," en bordure de la grande voie bitumûˋe Allada - Tori - Ouidah (aprû´s la dûˋviation entrant dans Tori Centre)., Tori-bossitoô  ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre Abomey-calaviô ,, 70 000 000 FCFA ,"


Surface Terrain
750.00 môý


"," au bord du goudron inter-Etat  Entre Godomey et  IITA Carrefour, Abomey-calaviô , 136 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre Abomey-calaviô ,, 12 000 000 FCFA ,"


Surface Terrain
480.00 môý


"," û  quelques part de la C. E. B calavi non loin de la mairie, Abomey-calaviô , 136 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre  Fidjrossû´ Centre,, 40 000 000 FCFA ,"


Surface Terrain
514.00 môý


"," 100m du carrefour de l'ûˋcole Morija, Cotonou, 353 ","

  Publiûˋ le 14/12/2021	
"
Terrain a vendre  Fidjrossû´ Centre,, 25 000 000 FCFA ,"


Surface Terrain
354.00 môý


"," CALVAIRE dans la zone de Calvaire proche de la BOA et environs 100m du pavûˋ, Cotonou, 353 ","

  Publiûˋ le 13/12/2021	
"
Terrain a vendre  Akpakpa Dodomû´,, 17 500 000 FCFA ,"


Surface Terrain
563.00 môý


"," pk10 dans la.von de la pharmacie, Cotonou, 345 ","

  Publiûˋ le 13/12/2021	
"
Terrain a vendre Godomeyô ,, 25 000 000 FCFA ,"


Surface Terrain
500.00 môý


"," au bord du goudron, Abomey-calaviô , 139 ","

  Publiûˋ le 13/12/2021	
"
Terrain a vendre  Kindonou,, 30 000 000 FCFA ,"


Surface Terrain
500.00 môý


"," Au bord des pavûˋs, Cotonou, 350 ","

  Publiûˋ le 13/12/2021	
"
Terrain a vendre  Fidjrossû´ Centre,, 75 000 000 FCFA ,"


Surface Terrain
800.00 môý


"," derriû´re l'universitûˋ UPI - ONM, Cotonou, 353 ","

  Publiûˋ le 13/12/2021	
"
Terrain a vendre Godomeyô ,, 1 000 000 000 FCFA ,"


Surface Terrain
10000.00 môý


"," au bord du goudron ( Voie Inter-Etats Cotonou-Lomûˋ, Abomey-calaviô , 139 ","

  Publiûˋ le 13/12/2021	
"
Terrain a vendre  Cadj猫houn Aupiais,, 110 000 000 FCFA ,"


Surface Terrain
605.00 m虏


"," non loin de l'annexe de la #Direction #l_Immigration, de #Chez_Karim et de  #l_Ecole_de_Base., Cotonou, 353 ","

  Publi茅 le 13/12/2021	
"
Terrain a vendre  Akpakpa DodomĂ¨,, 35 000 000 FCFA ,"


Surface Terrain
500.00 mÂ˛


"," PK 10,situĂŠ dans une zone rĂŠsidentielle, au bord et entourĂŠe des pavĂŠs et de plus en angle de rue.       200mÂ˛ de la plage, Cotonou, 345 ","

  PubliĂŠ le 13/12/2021	
"
Terrain a vendre  Cadjû´houn Aupiais,, 110 000 000 FCFA ,"


Surface Terrain
626.00 môý


"," CADJEHOUN- EPP CADJEHOUN, Cotonou, 353 ","

  Publiûˋ le 13/12/2021	
"
Terrain a vendre  Cococodji,, 65 000 000 FCFA ,"


Surface Terrain
2000.00 mÂē


"," DerniÃĻre la SBEE DE Cococodji, en 4 position du goudron, Abomey-calaviÂ , 139 ","

  PubliÃĐ le 13/12/2021	
"
Terrain a vendre  Glo-tokpa,, 1 500 000 FCFA ,"


Surface Terrain
500.00 môý


"," Glo Agongbûˋ, Abomey-calaviô , 137 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Pahou Centre,, 5 000 000 FCFA ,"


Surface Terrain
370.00 môý


"," pahou non loin de chez patou en allant û  kpota, Ouidahô , 114 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Godomey-Togoudo,, 14 000 000 FCFA ,"


Surface Terrain
335.00 môý


"," Togoudo dans la zone du carrefour Yûˋnadjro, Abomey-calaviô , 139 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Hû´viûˋ Centre,, 4 000 000 FCFA ,"


Surface Terrain
628.00 môý


"," HEVIû ZONE EPP, Abomey-calaviô , 140 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre STADE DE L'AMITIû KOUHOUNOU,, 35 000 000 FCFA ,"


Surface Terrain
420.00 môý


", STADE DE L'AMITIû KOUHOUNOU ZONE PHARMACIE MADELAINE ,"

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Agla-Akplomey,, 23 000 000 FCFA ,"


Surface Terrain
364.00 môý


"," AGLA HLAZOUNTO, Cotonou, 354 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Missessinto,, 15 000 000 FCFA ,"


Surface Terrain
784.00 môý


"," MISSûSSINTO, Abomey-calaviô , 137 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Adjagbo,, 6 000 000 FCFA ,"


Surface Terrain
1040.00 môý


"," OUEDO ADJAGBO, Abomey-calaviô , 142 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Cadjû´houn Aupiais,, 110 000 000 FCFA ,"


Surface Terrain
628.00 môý


"," FACE EPP CADJEHOUN, Cotonou, 353 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Vû´doko,, 26 000 000 FCFA ,"


Surface Terrain
365.00 môý


"," VEDOKO VON FUNAû, Cotonou, 351 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Togbin-Fandji,, 12 000 000 FCFA ,"


Surface Terrain
329.00 môý


"," TOGBIN PLAGE 300m ROUTE DES PûCHES AVANT CARREFOUR TOGBIN, Abomey-calaviô , 139 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre Ekpeô ,, 18 000 000 FCFA ,"


Surface Terrain
461.00 môý


"," EKPû FACE POSTE PûAGE CûTû MER, Seme-podjiô , 407 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Womey Centre,, 8 000 000 FCFA ,"


Surface Terrain
310.00 mÂ˛


"," WOMEY SODO, Abomey-calaviÂ , 139 ","

  PubliĂŠ le 08/12/2021	
"
Terrain a vendre Ze,, 700 000 FCFA ,"


Surface Terrain
513.00 môý


"," Zû ACADJAMEY, Ze, 162 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre KANZOUNKPA,, 5 000 000 FCFA ,"


Surface Terrain
354.00 mÂ˛


", KANZOUNKPA FACE CENTRE AĂFA ,"

  PubliĂŠ le 08/12/2021	
"
Terrain a vendre  Glo-tokpa,, 3 000 000 FCFA ,"


Surface Terrain
500.00 môý


"," GLO DERRIûRE CIEVRA, 600m DU GOUDRON, Abomey-calaviô , 137 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre Akassatoô ,, 12 000 000 FCFA ,"


Surface Terrain
318.00 môý


"," AKASSATO ADJAGBO, Abomey-calaviô , 137 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre Abomey-calaviô ,, 23 000 000 FCFA ,"


Surface Terrain
523.00 môý


"," CLûTURûE DERRIûRE SOS CALAVI, Abomey-calaviô , 136 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre Abomey-calaviô ,, 17 000 000 FCFA ,"


Surface Terrain
293.00 môý


"," BIDOSSûSSI, Abomey-calaviô , 136 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Dû´koungbûˋ-Eglise,, 18 000 000 FCFA ,"


Surface Terrain
271.00 môý


"," DûKOUNGBû ZONE ûGLISE CATHOLIQUE, Abomey-calaviô , 139 ","

  Publiûˋ le 08/12/2021	
"
Terrain a vendre  Mû´nontin,, 30 000 000 FCFA ,"


Surface Terrain
500.00 môý


"," au bord des pavûˋs, Cotonou, 350 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Agla-Figaro,, 25 000 000 FCFA ,"


Surface Terrain
350.00 môý


"," les nouveaux pavûˋs en face La nouvelle Pharmacie ""Salem"" de l'ancien Agla-Gare, Cotonou, 354 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Hû´viûˋ Centre,, 5 500 000 FCFA ,"


Surface Terrain
500.00 môý


"," NON LOIN DE L'ûCOLE PRIMAIRE û  150m du goudron, Abomey-calaviô , 140 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Pahou Centre,, 2 000 000 FCFA ,"


Surface Terrain
500.00 môý


"," û  2,5km de chez patou et û  800m de l'ûˋcole primaire de houndjava., Ouidahô , 114 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Womey Centre,, 6 000 000 FCFA ,"


Surface Terrain
335.00 môý


"," Dah Yovo, Abomey-calaviô , 139 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Tankpûˆ,, 9 000 000 FCFA ,"


Surface Terrain
305.00 môý


"," Non loin des pavûˋs, Abomey-calaviô , 136 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Godomey-Togoudo,, 19 000 000 FCFA ,"


Surface Terrain
310.00 môý


"," Gbû´gnigan prûˋcisûˋment au carrefour fraternitûˋ, Abomey-calaviô , 139 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Womey Centre,, 5 500 000 FCFA ,"


Surface Terrain
300.00 môý


"," Womey Sodo dans la zone de l'ûˋglise catholique '' Saint Daniel Comboni, Abomey-calaviô , 139 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Gbodjû´-Womey,, 10 000 000 FCFA ,"


Surface Terrain
311.00 môý


"," GBODJû  Djepkota derriû´re l'ûˋcole primaire publique, Abomey-calaviô , 139 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Lesô Cocotiers,, 300 000 000 FCFA ,"


Surface Terrain
600.00 môý


"," cocotiers, Cotonou, 353 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Haie Vive,, 280 000 000 FCFA ,"


Surface Terrain
600.00 môý


"," Haie Vive en angle de rue, Cotonou, 353 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Haie Vive,, 250 000 000 FCFA ,"


Surface Terrain
525.00 môý


"," Haie Vive, Cotonou, 353 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Agla-Akplomey,, 18 000 000 FCFA ,"


Surface Terrain
325.00 môý


"," maison du peuple, Cotonou, 354 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre  Missitûˋ-Sikûˆ,, 130 000 000 FCFA ,"


Surface Terrain
600.00 môý


"," Sikû´codji dans la premiû´re rue bitumûˋe û  droite aprû´s le feu marina et au bord du nouveau goudron, Cotonou, 348 ","

  Publiûˋ le 07/12/2021	
"
Terrain a vendre Abomey-calaviô ,, 16 000 000 FCFA ,"


Surface Terrain
424.00 môý


"," PARANA DEUXIûME POSITION DES PAVûS, Abomey-calaviô , 136 ","

  Publiûˋ le 06/12/2021	
"
Terrain a vendre  Togbin ãDaho,, 9 000 000 FCFA ,"


Surface Terrain
350.00 môý


"," en face de l'ûˋglise Catholique de TOGBIN, Abomey-calaviô , 139 ","

  Publiûˋ le 06/12/2021	
"
Terrain a vendre  Cadjû´houn Aupiais,, 50 000 000 FCFA ,"


Surface Terrain
510.00 môý


"," Non loin des pavûˋs, Cotonou, 353 ","

  Publiûˋ le 06/12/2021	
"
Terrain a vendre  Cocotomey,, 35 000 000 FCFA ,"


Surface Terrain
400.00 môý


"," au bord du goudron sur angle de rue non loin de la station JNP, Abomey-calaviô , 139 ","

  Publiûˋ le 06/12/2021	
"
Terrain a vendre  Togbin-Kpû´vi,, 7 000 000 FCFA ,"


Surface Terrain
337.00 môý


"," zone de l'ûˋglise catholique NûÇtre Dame d'Ascenssion., Abomey-calaviô , 139 ","

  Publiûˋ le 06/12/2021	
"
Terrain a vendre  Godomey-NãGbû´ho,, 15 000 000 FCFA ,"


Surface Terrain
450.00 môý


"," ignonhou non loin des pavûˋs d'usine d'engrais environ (600m),, Abomey-calaviô , 139 ","

  Publiûˋ le 06/12/2021	
"
Terrain a vendre Godomeyô ,, 10 000 000 FCFA ,"


Surface Terrain
240.00 môý


"," Aimevo zone Talon environ 100 m du nouveau goudron de la clinique Biosso,, Abomey-calaviô , 139 ","

  Publiûˋ le 06/12/2021	
"
Terrain a vendre  Fidjrossû´ Centre,, 85 000 000 FCFA ,"


Surface Terrain
653.00 môý


"," Plage en 3e Position du nouveau goudron (Route des pûˆches), Cotonou, 353 ","

  Publiûˋ le 06/12/2021	
"
Terrain a vendre Abomey-calaviô ,, 12 000 000 FCFA ,"


Surface Terrain
329.00 môý


"," calavi SOS 100m du goudron et 4em position des pavûˋs., Abomey-calaviô , 136 ","

  Publiûˋ le 06/12/2021	
"
Terrain a vendre  Togbin âDaho,, 11 000 000 FCFA ,"


Surface Terrain
335.00 mÂ˛


"," togbin Daho.  DeuxiĂ¨me position de la voie, Abomey-calaviÂ , 139 ","

  PubliĂŠ le 04/12/2021	
"
Terrain a vendre Godomeyô ,, 26 000 000 FCFA ,"


Surface Terrain
500.00 môý


"," AU BORD DU NOUVEAU GOUDRON, Abomey-calaviô , 139 ","

  Publiûˋ le 04/12/2021	
"
Terrain a vendre  Zogbadjû´,, 13 000 000 FCFA ,"


Surface Terrain
335.00 môý


"," ZOGBADJE, Abomey-calaviô , 136 ","

  Publiûˋ le 04/12/2021	
"
Terrain a vendre Seme-podjiô ,, 4 500 000 FCFA ,"


Surface Terrain
276.00 môý


"," zone franche industrielle arrondissement Tohoue, Seme-podjiô  ","

  Publiûˋ le 03/12/2021	
"
Terrain a vendre  Vû´doko,, 48 000 000 FCFA ,"


Surface Terrain
400.00 môý


"," CASSE-AUTO, Cotonou, 351 ","

  Publiûˋ le 02/12/2021	
"
Terrain a vendre Abomey-calaviÂ ,, 550 000 000 FCFA ,"


Surface Terrain
2002523.00 mÂē


"," ADJAGBO AU BORD DU GOUDRON INTER-ÃTAT, Abomey-calaviÂ , 136 ","

  PubliÃĐ le 02/12/2021	
"
Terrain a vendre  Agla-les PylûÇnes,, 19 500 000 FCFA ,"


Surface Terrain
350.00 môý


"," rue en face du commissariat, Cotonou, 354 ","

  Publiûˋ le 02/12/2021	
"
Terrain a vendre  Godomey-NãGbû´ho,, 32 000 000 FCFA ,"


Surface Terrain
900.00 môý


"," û  500m des pavûˋs de la gare des Camions, Abomey-calaviô , 139 ","

  Publiûˋ le 02/12/2021	
"
Terrain a vendre  Cadjû´houn Aupiais,, 500 000 000 FCFA ,"


Surface Terrain
500.00 môý


"," Non loin des pavûˋs, Cotonou, 353 ","

  Publiûˋ le 02/12/2021	
"
Terrain a vendre  Gbû´djromû´dûˋ,, 30 000 000 FCFA ,"


Surface Terrain
200.00 môý


"," GBEDJROMEDE/ VOSSA, en face du marche communal, Cotonou, 347 ","

  Publiûˋ le 02/12/2021	
"
Terrain a vendre Abomey-calaviô ,, 15 000 000 FCFA ,"


Surface Terrain
329.00 môý


"," SOS û  100m du goudron et 4em position des pavûˋs., Abomey-calaviô , 136 ","

  Publiûˋ le 02/12/2021	
"
Terrain a vendre  Kouhounou,, 500 000 000 FCFA ,"


Surface Terrain
1847.00 môý


"," en face de l'esplanade du stade de l'amitiûˋ, Cotonou, 351 ","

  Publiûˋ le 02/12/2021	
"
Terrain a vendre  Kouhounou,, 1 500 000 000 FCFA ,"


Surface Terrain
1204.00 môý


"," trois angle, Cotonou, 351 ","

  Publiûˋ le 02/12/2021	
"
Terrain a vendre Hevieô ,, 4 000 000 FCFA ,"


Surface Terrain
500.00 môý


"," HûVIû DûNOU DERRIûRE SITE LOGEMENTS GCITT û  300m du goudron, Abomey-calaviô , 140 ","

  Publiûˋ le 01/12/2021	
"
Terrain a vendre  Godomey-NãGbû´ho,, 16 500 000 FCFA ,"


Surface Terrain
380.00 môý


"," Godomey magasin û  300m du pavûˋ et 2 min de la voie, Abomey-calaviô , 139 ","

  Publiûˋ le 01/12/2021	
"
Terrain a vendre  Akpakpa Dodomû´,, 17 000 000 FCFA ,"


Surface Terrain
525.00 môý


"," PK10 CûTû MER, Cotonou, 345 ","

  Publiûˋ le 01/12/2021	
"
Terrain a vendre  Torri-Agonsa,, 1 500 000 FCFA ,"


Surface Terrain
500.00 môý


"," TORRI ASROSSA, Seme-podjiô , 405 ","

  Publiûˋ le 09/11/2021	
"
Terrain a vendre  Vû´doko,, 10 000 000 FCFA ,"


Surface Terrain
244.00 môý


"," VEDOKO, Cotonou, 351 ","

  Publiûˋ le 09/11/2021	
"
Terrain a vendre  Hû´viûˋ Centre,, 3 000 000 FCFA ,"


Surface Terrain
500.00 môý


"," HûVIû HOUINMEY, Abomey-calaviô , 140 ","

  Publiûˋ le 09/11/2021	
"
Terrain a vendre Abomey-calaviô ,, 4 000 000 FCFA ,"


Surface Terrain
325.00 môý


"," CALAVI AGASSA-GODOMEY, Abomey-calaviô , 136 ","

  Publiûˋ le 09/11/2021	
"
Terrain a vendre  Agla-les PylûÇnes,, 18 000 000 FCFA ,"


Surface Terrain
500.00 môý


"," AGLA/ LES PYLûNES, Cotonou, 354 ","

  Publiûˋ le 05/11/2021	
"
Terrain a vendre Abomey-calaviô ,, 22 000 000 FCFA ,"


Surface Terrain
520.00 môý


"," CALAVI OUûDO, Abomey-calaviô , 136 ","

  Publiûˋ le 05/11/2021	
"
Terrain a vendre  Agla-Sud,, 18 000 000 FCFA ,"


Surface Terrain
322.00 môý


"," AGLA ( FIDJROSSû KPOTA), Cotonou, 354 ","

  Publiûˋ le 05/11/2021	
"
Terrain a vendre  Hû´viûˋ Centre,, 1 500 000 FCFA ,"


Surface Terrain
350.00 môý


"," HEVIû DOSSOUNOU., Abomey-calaviô , 140 ","

  Publiûˋ le 05/11/2021	
"
Terrain a vendre  Missitûˋ-Sikûˆ,, 130 000 000 FCFA ,"


Surface Terrain
600.00 môý


"," COTONOU SIKE-CODJI, Cotonou, 348 ","

  Publiûˋ le 05/11/2021	
"
Terrain a vendre Ouedoô ,, 1 700 000 FCFA ,"


Surface Terrain
500.00 môý


"," Ouû´do Dassû´komey en troisiû´me position des pylûÇnes, Abomey-calaviô , 142 ","

  Publiûˋ le 04/11/2021	
"
Terrain a vendre  Cococodji,, 25 000 000 FCFA ,"


Surface Terrain
372.00 mÂ˛


"," Cocotomey, Abomey-calaviÂ , 139 ","

  PubliĂŠ le 04/11/2021	
"
Terrain a vendre  Cococodji,, 6 000 000 FCFA ,"


Surface Terrain
325.00 môý


"," Cococodji Aklakou, Abomey-calaviô , 139 ","

  Publiûˋ le 04/11/2021	
"
Terrain a vendre Godomeyô ,, 9 000 000 FCFA ,"


Surface Terrain
325.00 môý


"," Godomey prûˋcisûˋment û  Lobozounkpa, Abomey-calaviô , 139 ","

  Publiûˋ le 04/11/2021	
"
Terrain a vendre  Zogbo,, 35 000 000 FCFA ,"


Surface Terrain
500.00 môý


"," 2û´me position des pavûˋs, Cotonou, 350 ","

  Publiûˋ le 29/10/2021	
"
